id_autor,nombre_autor
1,J.K. Rowling/Mary Gran
2,J.K. Rowling
3,W. Frederick Zimmerman
4,Douglas Adams
5,Stephen Fry
6,Bill Bryson
7,J.R.R. Tolkien
8,Alan  Lee
9,Richard Taylor
10,Jude Fisher
11,Dave Thomas
12,Gary Paulsen
13,Donna Ickes
14,Molly Hatchet
15,Dale Peck
16,Angela Knight
17,Delia Sherman
18,Patricia McKillip
19,Zilpha Keatley Snyder
20,Kate Horsley
21,Philippa Carr
22,Edward Jones
23,Edward P. Jones
24,Satyajit Das
25,Mark Smylie
26,William Howarth
27,John McPhee
28,Wendy Wasserstein
29,Heidi Hayes Jacobs
30,Heidi Boyd
31,Heidi Baker
32,Johanna Spyri
33,Rolland Baker
34,Heidi Murkoff
35,Heidi Fleiss
36,Frank Herbert
37,Brian Herbert
38,Frank Herbert
39,Gary Russell
40,Bryce Courtenay
41,John C. Maxwell
42,Dave Lakhani
43,Louis E. Catron
44,Adam Ginsberg
45,Marsha Collier
46,Chris Malta
47,Julia Wilkinson
48,Lucas Carlson
49,Ruby Ann Boxcar
50,Rob Orsini
51,Richard Pevear
52,Priscilla Meyer
53,Larissa Volokhonsky
54,Marianne Sturman
55,Amy Mandelker
56,Aylmer Maude
57,Constance Garnett
58,Gloria Goldreich
59,Anthony Thorlby
60,Forster